Task Command,Base Function,task_num,No Action,Base,Human,DLM (No Reflection),DLM (Reflection),Default,Label
Advantage those who prefer being called after 7PM 'slot' registered at an NGO.,"lambda feature, state: state*0.1",10, -0.04 ± 0.21, 1.00 ± 0.31, -0.86 ± 0.30, 0.03 ± 0.31, 1.61 ± 0.20, 0.46 ± 0.08,Evening Calls + NGO Registered
Advantage those who prefer being called after the 7:30pm 'slot' and are registered at ARMMAN.,"lambda feature, state: state*0.1",20, -0.56 ± 0.03, 1.00 ± 0.02, 1.13 ± 0.04, 0.42 ± 0.06, 0.98 ± 0.07, 0.99 ± 0.02,Evening Calls + ARMMAN Registered
Focus only on both the young and elderly.,"lambda feature, state: state**0.01 * if_(feature[12-1] or feature[8-1]),",5, -1.21 ± 0.27, 1.00 ± 0.39, 2.18 ± 0.39, 0.62 ± 0.25, 1.76 ± 0.33, 0.53 ± 0.04,Age Spectrum Tail Emphasis
Give more attention for beneficiaries who likely work early in the morning and late at night.,"lambda feature, state: state*0.1",13, 0.05 ± 0.24, 1.00 ± 0.26, 1.01 ± 0.39, 0.25 ± 0.33, 1.04 ± 0.38, 0.47 ± 0.23,Early and Late Workers
Heavily weight those who have had low education.,"lambda feature, state: state*0.1 + HEAVILY_MODIFIER * if_(feature[17-1]),",16, -0.50 ± 0.04, 1.00 ± 0.03, 0.77 ± 0.06, 0.22 ± 0.03, 1.11 ± 0.04, 1.05 ± 0.03,Low Education Bias
Prefer the income_bracket bounds for the middle 40% of the population.,"lambda feature, state: state*0.1",18, -0.53 ± 0.04, 1.00 ± 0.05, 0.96 ± 0.09, 0.80 ± 0.05, 1.27 ± 0.05, 0.88 ± 0.03,Middle Income
Priortize slightly those who have had prior pregnancies.,"lambda feature, state: state**0.01 + SLIGHTLY_MODIFIER * if_(feature[2]),",3, -0.50 ± 0.01, 1.00 ± 0.03, 0.92 ± 0.03, 1.06 ± 0.02, 0.99 ± 0.03, 0.90 ± 0.01,Prior Pregnancies
Select solely those who speak Hindi to analyze how this would affect the calls made to our beneficiaries.,"lambda feature, state: state**0.01 * if_(feature[13-1]),",2, -1.42 ± 0.14, 1.00 ± 0.23, -0.05 ± 0.08, 1.24 ± 0.21, 2.64 ± 0.15, -0.01 ± 0.24,Hindi Speakers
Slightly favor those women who do not own their own phone,"lambda feature, state: state**0.01",7, -1.33 ± 0.13, 1.00 ± 0.15, 2.88 ± 0.17, 0.81 ± 0.11, 1.06 ± 0.26, 0.88 ± 0.03,Women Without Phone Ownership
"The lowest income_bracket distribution tail is very important, focus heavily on the top 12.5%.","lambda feature, state: state**0.01 + HEAVILY_MODIFIER * feature[37-1],",1, -0.59 ± 0.03, 1.00 ± 0.03, 1.15 ± 0.06, 0.51 ± 0.10, 0.97 ± 0.04, 0.91 ± 0.01,Low Income
"Weigth the lowest income_bracket groups, the lowest earners in the population.","lambda feature, state: state*0.1",17, -0.56 ± 0.05, 1.00 ± 0.07, 1.20 ± 0.05, 1.02 ± 0.09, 1.12 ± 0.08, 0.87 ± 0.01,Critical Low Income
